id,produto,funcionarios,vendas,clientes,preco,estoque
923,Sprouts - Alfalfa,Chaddie Krolak,$681.43,Chickie De Malchar,$899.84,319
924,"Crab - Back Fin Meat, Canned",Del Jerdein,$422.84,Miran Sanders,$791.20,709
925,Syrup - Monin - Granny Smith,Hi Leward,$867.96,De Dibble,$405.48,88
926,Flower - Leather Leaf Fern,Shirlene Djokic,$64.10,Wittie Mulqueeny,$183.87,612
927,Onions - Green,Ailsun Stennes,$710.15,Anna-diane Rosso,$879.95,705
928,Island Oasis - Raspberry,Kimberli Beeho,$890.84,Marsha Hurdman,$985.35,418
929,"Wine - Bourgogne 2002, La",Wanids Meadowcroft,$173.42,Eward Glason,$415.19,653
930,Flounder - Fresh,Derron Semon,$512.43,Lucius Cruikshank,$159.66,753
931,Cookies - Englishbay Chochip,Mathias Giacopello,$363.90,Cross Evemy,$134.34,922
932,Bread - French Stick,Cristionna Walcar,$138.09,Maxie Connew,$84.27,246
933,Lobster - Canned Premium,Vickie Stockton,$503.23,Otha Luparto,$785.26,232
934,"Lobster - Tail, 3 - 4 Oz",Luca Hankins,$985.76,Rora Stanmer,$73.05,379
935,"Juice - Pineapple, 341 Ml",Jobi Tissier,$23.97,Chloris Kisar,$95.11,880
936,Table Cloth 90x90 Colour,Guillermo Boerder,$970.17,Corby Skylett,$846.92,259
937,Wine - Domaine Boyar Royal,Kalina Voaden,$345.59,Ad Askaw,$589.84,494
938,Chickensplit Half,Ave Booler,$118.65,Casey Rudolph,$564.64,813
939,Mints - Striped Red,Dionisio Juares,$768.21,Austina Darrell,$502.85,915
940,Remy Red,Marinna Mansour,$109.20,Kittie Gumly,$133.43,511
941,Appetizer - Tarragon Chicken,Siobhan Hyne,$705.92,Salomi Jirasek,$789.10,657
942,Pie Filling - Apple,Ines Hayland,$961.54,Clemmie Garside,$920.22,593
943,Steampan - Half Size Shallow,Flossi Pencott,$402.57,Penni Kaman,$942.13,807
944,"Pasta - Shells, Medium, Dry",Tallie Caisley,$688.92,Dalli MacCheyne,$775.36,5
945,French Kiss Vanilla,Isabel Fried,$519.77,Luciano Creese,$809.45,334
946,Cheese Cheddar Processed,Andreana Gierardi,$347.37,Basilio McMahon,$847.41,836
947,Wine - Acient Coast Caberne,Shannan Dunkley,$565.22,Lynett Agius,$298.16,230
948,Ham - Procutinni,Querida Cadigan,$708.10,Ian Blazic,$712.21,895
949,"Roe - Lump Fish, Black",Richardo Connar,$514.38,Merry Cadogan,$856.02,247
950,Beef Flat Iron Steak,Irv O'Sherrin,$276.85,Lenka Ambage,$951.70,841
951,Bagels Poppyseed,Maudie Dimitrie,$419.28,Ted O'Donnelly,$995.33,25
952,Ecolab - Solid Fusion,Rozalin Banfield,$417.99,Barry Wallwood,$64.41,739
953,Mini - Vol Au Vents,Rocky Ramlot,$193.10,Keary Gullane,$110.14,555
954,Longos - Grilled Veg Sandwiches,Mellie Cobbe,$655.02,Aldo Doers,$689.01,965
955,Wine - Taylors Reserve,Jacquie Flippini,$997.09,Pippy Marcombe,$78.27,233
956,Yeast Dry - Fleischman,Garwin Romain,$985.12,Perkin Murby,$159.84,662
957,"Crab - Back Fin Meat, Canned",Blancha Maddick,$51.51,Tabor Espin,$535.73,215
958,Eggplant - Regular,Merrie Cattow,$732.68,Chalmers Drivers,$220.21,976
959,Pur Value,Louisa Peascod,$708.74,Ashby Triswell,$669.89,238
960,Bread - Bistro White,Gilbertine Tichelaar,$38.90,Fae Louder,$346.55,551
961,Bread - Petit Baguette,Thaddeus Gillibrand,$156.23,Bree Janny,$738.76,852
962,Pants Custom Dry Clean,Tisha Holdin,$768.10,Goldia Coste,$688.39,374
963,"Wine - Red, Pelee Island Merlot",Christy Dedon,$94.57,Deb Rosie,$642.92,945
964,"Wine - Red, Cabernet Merlot",Meaghan Bartos,$228.31,Noami Rawlin,$729.04,106
965,Hog / Sausage Casing - Pork,Tucky Artharg,$129.91,Howard Strother,$663.21,729
966,"Nut - Almond, Blanched, Whole",Albert Machent,$199.38,Elwyn Northcott,$235.03,412
967,Pork Loin Cutlets,Aundrea Torel,$957.08,Mile Dancer,$967.71,773
968,Bread - Onion Focaccia,Neville Toupe,$763.17,Cletus Selman,$947.42,35
969,Beer - Creemore,Kyle O'Day,$473.21,Diann Jewitt,$34.15,874
970,Aspic - Amber,Vikky Aronowicz,$93.42,Merrielle Mildmott,$323.60,284
971,Foam Tray S2,Kaiser Sheer,$846.70,Cookie Doeg,$236.00,681
972,Table Cloth 54x72 White,Wash Moorman,$18.39,Audry Puttock,$928.28,745
973,Rice - Basmati,Angelique Costelloe,$861.63,Marlo Yakolev,$239.74,242
974,Yoghurt Tubes,Marcelia Lorenc,$41.78,Amie Channer,$876.89,495
975,Chinese Foods - Cantonese,Ramona Tokell,$250.08,Junina Glowinski,$292.93,594
976,Pickles - Gherkins,Bruno Poulgreen,$901.70,Shelton Gremane,$9.75,661
977,Beef - Top Butt,Noelani McDonough,$420.71,Alvina Eglington,$951.13,851
978,Squash - Guords,Latia Ruoss,$629.79,Sarajane Formilli,$389.95,900
979,Gatorade - Xfactor Berry,Filmer Jesson,$220.72,Wadsworth Lidierth,$965.76,961
980,"Split Peas - Yellow, Dry",Adoree Wesson,$475.77,Ruddie Gowen,$107.66,409
981,Mustard - Pommery,Jeff Shyre,$253.36,Antony Edgley,$808.07,604
982,Soup - Campbells Pasta Fagioli,Malanie Lightfoot,$671.50,Jard Velte,$799.22,666
983,"Pepper - Julienne, Frozen",Mellisa Zorzetti,$161.94,Roderic Macek,$173.33,166
984,"Chilli Paste, Hot Sambal Oelek",Andriana Creegan,$530.61,Lexi Lamberteschi,$153.86,969
985,Hog / Sausage Casing - Pork,Harrie Selway,$768.35,Eugenio Worden,$211.34,857
986,Bagel - Sesame Seed Presliced,Jere Thow,$344.01,Olivie Capstack,$177.95,941
987,Cheese - Wine,Elinor Petlyura,$426.82,Benton Dumingos,$219.01,317
988,"Pail - 15l White, With Handle",Rahal Winkworth,$648.63,Julissa Edlestone,$134.77,958
989,Chinese Foods - Plain Fried Rice,Damita Sigmund,$919.70,Ely Laurenson,$840.96,47
990,Milk - 1%,Loreen Jurca,$318.95,Claudette Beneyto,$625.26,739
991,Cleaner - Bleach,Eldredge Minihan,$835.37,Gianni Cargen,$995.96,142
992,Soup - Campbells Beef Stew,Herbert Dawkins,$387.66,Rainer Worsley,$409.24,421
993,Veal - Eye Of Round,Lacey Patroni,$363.27,Devlen Garfitt,$709.88,843
994,Puree - Pear,Catherina Papaminas,$754.70,Phillie Guynemer,$472.88,629
995,Wine - Magnotta - Cab Sauv,Carlina Leggett,$917.88,Emelen McCleod,$843.53,410
996,Hand Towel,Eva Applebee,$827.86,Neale Gabe,$15.58,366
997,Soap - Pine Sol Floor Cleaner,Horatio Spurret,$157.79,Chrissie Fasse,$171.10,40
998,"Pasta - Cannelloni, Sheets, Fresh",Liz Kensett,$504.89,Codie Bruin,$880.88,818
999,Sauce Tomato Pouch,Yuma Leaney,$906.35,Lora Alner,$202.15,653
1000,Dasheen,Missy Stopforth,$81.82,Katey Bent,$762.97,758
